shipment_id,order_id,warehouse_id,carrier,shipment_date,delivery_status
SHP30055,ORD20055,WH009,Delhivery,2023-10-02,Delayed
SHP30027,ORD20091,WH009,BlueDart,2023-09-25,Delivered
SHP30050,ORD20011,WH006,Delhivery,2023-09-01,In Transit
SHP30012,ORD20098,WH008,Delhivery,2023-10-21,Lost
SHP30041,ORD20055,WH006,UPS,2023-09-09,Delivered
SHP30098,ORD20093,WH001,Delhivery,2023-09-22,In Transit
SHP30065,ORD20032,WH002,UPS,2023-07-10,In Transit
SHP30092,ORD20030,WH009,UPS,2023-10-27,Delivered
SHP30051,ORD20093,WH006,DHL,2023-08-17,In Transit
SHP30064,ORD20098,WH006,XPO Logistics,2023-09-18,Delivered
SHP30011,ORD20071,WH002,Delhivery,2023-09-18,Delayed
SHP30040,ORD20007,WH002,Kuehne + Nagel,2023-10-03,Delayed
SHP30041,ORD20042,WH008,Delhivery,2023-10-16,In Transit
SHP30087,ORD20062,WH007,Delhivery,2023-08-27,Delayed
SHP30089,ORD20028,WH004,DHL,2023-10-08,Delayed
SHP30003,ORD20068,WH004,UPS,2023-08-30,Out for Delivery
SHP30004,ORD20099,WH009,XPO Logistics,2023-09-20,In Transit
SHP30081,ORD20062,WH001,Amazon Logistics,2023-09-21,Out for Delivery
SHP30087,ORD20005,WH004,FedEx,2023-09-27,Delivered
SHP30065,ORD20081,WH008,XPO Logistics,2023-10-03,Delayed
SHP30028,ORD20066,WH006,UPS,2023-10-07,Delayed
SHP30043,ORD20043,WH009,Delhivery,2023-09-27,Lost
SHP30055,ORD20024,WH004,BlueDart,2023-10-05,Out for Delivery
SHP30055,ORD20039,WH003,FedEx,2023-09-07,Lost
SHP30022,ORD20040,WH001,Amazon Logistics,2023-10-30,Out for Delivery
SHP30002,ORD20023,WH006,Kuehne + Nagel,2023-10-27,Lost
SHP30028,ORD20086,WH001,Amazon Logistics,2023-09-21,Delivered
SHP30020,ORD20007,WH001,Amazon Logistics,2023-09-23,In Transit
SHP30043,ORD20018,WH005,Amazon Logistics,2023-10-12,Out for Delivery
SHP30009,ORD20006,WH003,FedEx,2023-07-02,Delayed
SHP30089,ORD20094,WH007,Kuehne + Nagel,2023-09-13,Out for Delivery
SHP30070,ORD20011,WH008,XPO Logistics,2023-10-25,Delivered
SHP30052,ORD20081,WH001,Kuehne + Nagel,2023-09-27,In Transit
SHP30007,ORD20092,WH006,FedEx,2023-06-07,Out for Delivery
SHP30029,ORD20047,WH006,FedEx,2023-10-07,In Transit
SHP30007,ORD20080,WH004,FedEx,2023-06-26,In Transit
SHP30073,ORD20095,WH009,UPS,2023-10-29,Lost
SHP30061,ORD20010,WH003,BlueDart,2023-09-24,Lost
SHP30085,ORD20058,WH005,XPO Logistics,2023-09-21,Lost
SHP30001,ORD20028,WH007,Amazon Logistics,2023-08-15,Delayed
SHP30062,ORD20070,WH002,XPO Logistics,2023-10-06,Delayed
SHP30075,ORD20004,WH006,Kuehne + Nagel,2023-07-05,Delayed
SHP30029,ORD20007,WH004,DHL,2023-07-06,Out for Delivery
SHP30017,ORD20063,WH009,Delhivery,2023-08-12,In Transit
SHP30064,ORD20044,WH007,DHL,2023-08-05,Delivered
SHP30037,ORD20009,WH003,Kuehne + Nagel,2023-09-27,Delayed
SHP30062,ORD20009,WH008,Delhivery,2023-10-26,Out for Delivery
SHP30045,ORD20026,WH010,BlueDart,2023-10-17,Delivered
SHP30010,ORD20024,WH006,Delhivery,2023-07-13,Delivered
SHP30073,ORD20021,WH010,Amazon Logistics,2023-08-21,Out for Delivery
SHP30006,ORD20004,WH003,FedEx,2023-08-19,Lost
SHP30011,ORD20078,WH005,DHL,2023-10-07,Delivered
SHP30004,ORD20094,WH008,Delhivery,2023-10-18,Out for Delivery
SHP30087,ORD20071,WH001,UPS,2023-08-14,Out for Delivery
SHP30093,ORD20070,WH003,Amazon Logistics,2023-09-19,Lost
SHP30017,ORD20049,WH010,BlueDart,2023-08-29,Delayed
SHP30044,ORD20085,WH001,Amazon Logistics,2023-06-29,Out for Delivery
SHP30046,ORD20087,WH007,Kuehne + Nagel,2023-10-14,In Transit
SHP30015,ORD20045,WH002,XPO Logistics,2023-10-19,Delivered
SHP30021,ORD20032,WH001,UPS,2023-08-25,Lost
SHP30020,ORD20085,WH002,Amazon Logistics,2023-09-12,Delivered
SHP30056,ORD20073,WH007,BlueDart,2023-10-29,Delayed
SHP30033,ORD20019,WH003,UPS,2023-06-30,Lost
SHP30009,ORD20012,WH006,Delhivery,2023-10-09,Lost
SHP30015,ORD20087,WH003,Kuehne + Nagel,2023-10-29,Delivered
SHP30089,ORD20093,WH004,Amazon Logistics,2023-09-07,In Transit
SHP30055,ORD20004,WH009,Delhivery,2023-08-01,Lost
SHP30071,ORD20048,WH006,Amazon Logistics,2023-10-25,In Transit
SHP30056,ORD20079,WH001,FedEx,2023-10-30,Delivered
SHP30025,ORD20028,WH006,UPS,2023-09-17,Out for Delivery
SHP30027,ORD20051,WH006,UPS,2023-10-03,Lost
SHP30029,ORD20000,WH001,BlueDart,2023-10-13,Lost
SHP30080,ORD20010,WH001,BlueDart,2023-09-18,In Transit
SHP30041,ORD20006,WH005,Delhivery,2023-07-27,Lost
SHP30028,ORD20045,WH001,DHL,2023-10-06,Delivered
SHP30085,ORD20052,WH004,BlueDart,2023-10-22,Out for Delivery
SHP30090,ORD20041,WH004,BlueDart,2023-08-25,Out for Delivery
SHP30004,ORD20013,WH010,Kuehne + Nagel,2023-10-23,Lost
SHP30098,ORD20067,WH010,BlueDart,2023-10-13,Lost
SHP30002,ORD20083,WH005,DHL,2023-10-06,Lost
SHP30055,ORD20045,WH005,Delhivery,2023-08-09,In Transit
SHP30096,ORD20072,WH002,BlueDart,2023-10-25,Delayed
SHP30062,ORD20079,WH006,DHL,2023-06-28,Out for Delivery
SHP30062,ORD20029,WH008,Delhivery,2023-10-03,Delayed
SHP30009,ORD20041,WH003,XPO Logistics,2023-09-23,In Transit
SHP30072,ORD20080,WH001,FedEx,2023-10-05,Out for Delivery
SHP30029,ORD20078,WH004,Kuehne + Nagel,2023-09-16,Out for Delivery
SHP30011,ORD20096,WH009,UPS,2023-09-02,Delayed
SHP30012,ORD20097,WH002,XPO Logistics,2023-08-25,Delivered
SHP30009,ORD20079,WH009,Amazon Logistics,2023-07-22,Delayed
SHP30091,ORD20024,WH009,Kuehne + Nagel,2023-07-03,Out for Delivery
SHP30037,ORD20046,WH010,Kuehne + Nagel,2023-06-11,Delivered
SHP30099,ORD20089,WH009,XPO Logistics,2023-09-23,Lost
SHP30008,ORD20013,WH005,Delhivery,2023-10-04,Delayed
SHP30020,ORD20023,WH004,FedEx,2023-09-25,Delivered
SHP30049,ORD20030,WH001,UPS,2023-10-29,Delayed
SHP30067,ORD20008,WH007,Amazon Logistics,2023-08-12,Delivered
SHP30041,ORD20096,WH008,UPS,2023-10-18,Lost
SHP30067,ORD20071,WH010,DHL,2023-09-15,Delivered
SHP30028,ORD20087,WH004,Kuehne + Nagel,2023-10-11,Out for Delivery
SHP30016,ORD20082,WH008,XPO Logistics,2023-08-28,Lost
SHP30019,ORD20065,WH004,XPO Logistics,2023-10-29,Lost
SHP30011,ORD20082,WH010,BlueDart,2023-08-24,Out for Delivery
SHP30052,ORD20016,WH004,XPO Logistics,2023-10-23,Lost
SHP30036,ORD20078,WH009,BlueDart,2023-09-17,Delivered
SHP30007,ORD20005,WH005,DHL,2023-10-09,In Transit
SHP30089,ORD20014,WH006,DHL,2023-07-28,Delivered
SHP30045,ORD20014,WH001,FedEx,2023-09-02,In Transit
SHP30059,ORD20017,WH006,DHL,2023-07-14,Out for Delivery
SHP30073,ORD20039,WH006,UPS,2023-08-27,Lost
SHP30091,ORD20063,WH006,UPS,2023-09-26,Delivered
SHP30016,ORD20014,WH009,XPO Logistics,2023-10-24,Lost
SHP30042,ORD20096,WH003,XPO Logistics,2023-08-17,Lost
SHP30070,ORD20038,WH004,DHL,2023-07-22,In Transit
SHP30081,ORD20060,WH009,DHL,2023-10-01,Delivered
SHP30085,ORD20077,WH009,UPS,2023-08-11,Out for Delivery
SHP30038,ORD20015,WH007,Kuehne + Nagel,2023-10-25,In Transit
SHP30074,ORD20042,WH005,DHL,2023-10-15,Delivered
SHP30073,ORD20054,WH010,UPS,2023-09-22,Delayed
SHP30004,ORD20079,WH004,Amazon Logistics,2023-08-09,Out for Delivery
SHP30090,ORD20037,WH005,FedEx,2023-10-12,Out for Delivery
SHP30037,ORD20064,WH004,FedEx,2023-09-13,Lost
SHP30046,ORD20042,WH002,Delhivery,2023-09-11,Delivered
SHP30058,ORD20066,WH007,DHL,2023-08-23,Lost
SHP30015,ORD20021,WH007,UPS,2023-08-03,Lost
SHP30063,ORD20094,WH004,Delhivery,2023-09-16,Lost
SHP30004,ORD20002,WH005,UPS,2023-10-10,Out for Delivery
SHP30088,ORD20043,WH008,XPO Logistics,2023-10-23,Lost
SHP30047,ORD20070,WH007,FedEx,2023-10-05,In Transit
SHP30045,ORD20083,WH008,Kuehne + Nagel,2023-09-21,Lost
SHP30011,ORD20068,WH006,Delhivery,2023-10-22,In Transit
SHP30077,ORD20078,WH003,FedEx,2023-09-07,Out for Delivery
SHP30085,ORD20091,WH001,UPS,2023-10-28,In Transit
SHP30062,ORD20025,WH008,Delhivery,2023-10-15,Out for Delivery
SHP30037,ORD20014,WH005,BlueDart,2023-08-03,In Transit
SHP30088,ORD20049,WH001,FedEx,2023-09-11,Delivered
SHP30081,ORD20016,WH008,FedEx,2023-08-24,Delivered
SHP30013,ORD20028,WH003,Kuehne + Nagel,2023-10-09,Delivered
SHP30004,ORD20006,WH008,UPS,2023-09-24,Out for Delivery
SHP30003,ORD20081,WH005,XPO Logistics,2023-08-10,Out for Delivery
SHP30066,ORD20059,WH002,XPO Logistics,2023-09-01,Lost
SHP30051,ORD20018,WH009,Amazon Logistics,2023-09-15,Lost
SHP30016,ORD20026,WH007,XPO Logistics,2023-07-31,Lost
SHP30034,ORD20085,WH006,Kuehne + Nagel,2023-09-22,Delayed
SHP30094,ORD20007,WH006,FedEx,2023-09-18,Delayed
SHP30070,ORD20001,WH002,UPS,2023-10-20,Delivered
SHP30073,ORD20038,WH009,XPO Logistics,2023-08-26,Out for Delivery
SHP30029,ORD20006,WH007,UPS,2023-09-26,In Transit
SHP30012,ORD20064,WH005,FedEx,2023-10-14,In Transit
SHP30053,ORD20088,WH008,Kuehne + Nagel,2023-10-09,Lost
SHP30007,ORD20002,WH003,Amazon Logistics,2023-08-29,Lost
SHP30048,ORD20019,WH006,UPS,2023-09-19,Delayed
SHP30017,ORD20000,WH002,FedEx,2023-07-19,In Transit
SHP30012,ORD20001,WH006,XPO Logistics,2023-10-23,Lost
SHP30045,ORD20011,WH001,FedEx,2023-09-02,Lost
SHP30099,ORD20064,WH001,FedEx,2023-08-28,In Transit
SHP30053,ORD20060,WH001,Kuehne + Nagel,2023-08-31,Delivered
SHP30035,ORD20094,WH003,Delhivery,2023-08-22,Delayed
SHP30060,ORD20005,WH002,UPS,2023-09-20,Delayed
SHP30088,ORD20057,WH006,DHL,2023-08-29,Out for Delivery
SHP30044,ORD20019,WH001,FedEx,2023-10-28,Out for Delivery
SHP30058,ORD20073,WH005,XPO Logistics,2023-10-24,Out for Delivery
SHP30044,ORD20037,WH008,BlueDart,2023-10-28,Out for Delivery
SHP30009,ORD20036,WH003,DHL,2023-06-22,Out for Delivery
SHP30081,ORD20071,WH003,Kuehne + Nagel,2023-09-20,Lost
SHP30030,ORD20045,WH010,BlueDart,2023-08-31,Lost
SHP30000,ORD20030,WH002,Amazon Logistics,2023-10-04,Delivered
SHP30018,ORD20020,WH007,XPO Logistics,2023-10-01,Lost
SHP30025,ORD20083,WH001,XPO Logistics,2023-09-20,Delayed
SHP30096,ORD20040,WH007,UPS,2023-10-07,Delivered
SHP30005,ORD20073,WH009,XPO Logistics,2023-10-22,Lost
SHP30074,ORD20059,WH007,Delhivery,2023-10-20,Delivered
SHP30054,ORD20051,WH007,BlueDart,2023-09-13,Out for Delivery
SHP30016,ORD20020,WH004,BlueDart,2023-07-25,Delivered
SHP30064,ORD20050,WH002,Kuehne + Nagel,2023-09-18,In Transit
SHP30008,ORD20067,WH006,DHL,2023-09-26,Delayed
SHP30050,ORD20064,WH007,Kuehne + Nagel,2023-09-12,Delayed
SHP30000,ORD20025,WH004,XPO Logistics,2023-08-11,Out for Delivery
SHP30041,ORD20041,WH008,UPS,2023-10-15,Out for Delivery
SHP30075,ORD20048,WH003,Amazon Logistics,2023-10-24,Lost
SHP30020,ORD20035,WH007,XPO Logistics,2023-10-06,In Transit
SHP30037,ORD20066,WH005,Amazon Logistics,2023-10-15,Delayed
SHP30015,ORD20090,WH006,Amazon Logistics,2023-09-26,Lost
SHP30074,ORD20057,WH002,BlueDart,2023-10-06,Delivered
SHP30062,ORD20006,WH009,XPO Logistics,2023-08-29,Delayed
SHP30055,ORD20047,WH005,FedEx,2023-08-27,Out for Delivery
SHP30014,ORD20058,WH009,Kuehne + Nagel,2023-08-10,Out for Delivery
SHP30009,ORD20067,WH007,BlueDart,2023-10-21,Out for Delivery
SHP30099,ORD20014,WH010,Delhivery,2023-10-22,Out for Delivery
SHP30046,ORD20075,WH010,DHL,2023-09-27,Delivered
SHP30077,ORD20095,WH004,Kuehne + Nagel,2023-09-22,Delivered
SHP30081,ORD20022,WH003,UPS,2023-08-07,Out for Delivery
SHP30058,ORD20062,WH006,Amazon Logistics,2023-08-12,Delivered
SHP30090,ORD20013,WH007,Amazon Logistics,2023-10-11,In Transit
SHP30038,ORD20050,WH003,FedEx,2023-07-29,In Transit
SHP30094,ORD20023,WH008,Amazon Logistics,2023-10-25,Out for Delivery
SHP30047,ORD20011,WH003,UPS,2023-09-07,Delayed
SHP30071,ORD20004,WH008,DHL,2023-09-08,Delayed
SHP30025,ORD20049,WH006,UPS,2023-08-08,Out for Delivery
SHP30036,ORD20063,WH010,Kuehne + Nagel,2023-08-24,Lost
SHP30094,ORD20087,WH009,Amazon Logistics,2023-10-01,Delayed
SHP30053,ORD20057,WH009,UPS,2023-08-03,Out for Delivery
SHP30012,ORD20037,WH002,FedEx,2023-09-29,Delayed
SHP30049,ORD20027,WH010,BlueDart,2023-10-26,Lost
SHP30065,ORD20030,WH010,UPS,2023-07-21,Lost
SHP30061,ORD20051,WH001,BlueDart,2023-09-11,Delayed
SHP30010,ORD20088,WH010,Kuehne + Nagel,2023-08-04,Lost
SHP30009,ORD20079,WH002,XPO Logistics,2023-08-25,Delayed
SHP30072,ORD20018,WH003,UPS,2023-10-16,Delayed
SHP30011,ORD20073,WH006,Kuehne + Nagel,2023-10-24,Out for Delivery
SHP30033,ORD20005,WH006,FedEx,2023-09-23,Out for Delivery
SHP30022,ORD20092,WH009,Delhivery,2023-08-20,Out for Delivery
SHP30092,ORD20005,WH010,Amazon Logistics,2023-10-01,In Transit
SHP30046,ORD20017,WH010,XPO Logistics,2023-08-13,Delivered
SHP30085,ORD20084,WH006,Delhivery,2023-09-23,Delayed
SHP30053,ORD20021,WH001,Kuehne + Nagel,2023-08-19,In Transit
SHP30089,ORD20008,WH005,XPO Logistics,2023-08-21,Lost
SHP30026,ORD20046,WH001,BlueDart,2023-08-13,Lost
SHP30067,ORD20003,WH008,UPS,2023-09-12,Out for Delivery
SHP30017,ORD20081,WH009,Amazon Logistics,2023-08-11,Out for Delivery
SHP30091,ORD20073,WH010,FedEx,2023-10-29,Delivered
SHP30030,ORD20031,WH005,XPO Logistics,2023-08-15,Delayed
SHP30001,ORD20084,WH004,XPO Logistics,2023-09-15,Out for Delivery
SHP30080,ORD20073,WH003,DHL,2023-10-08,Lost
SHP30045,ORD20027,WH008,XPO Logistics,2023-06-26,In Transit
SHP30061,ORD20036,WH002,FedEx,2023-08-11,Delayed
SHP30073,ORD20034,WH003,Kuehne + Nagel,2023-10-08,Delayed
SHP30066,ORD20002,WH008,BlueDart,2023-08-29,Out for Delivery
SHP30011,ORD20036,WH007,DHL,2023-08-16,Delivered
SHP30005,ORD20088,WH009,Kuehne + Nagel,2023-10-04,Delivered
SHP30054,ORD20053,WH001,Delhivery,2023-09-28,Delivered
SHP30052,ORD20009,WH007,BlueDart,2023-10-15,Lost
SHP30040,ORD20020,WH006,XPO Logistics,2023-07-29,Delayed
SHP30019,ORD20096,WH010,Delhivery,2023-09-12,In Transit
SHP30041,ORD20028,WH008,XPO Logistics,2023-09-07,In Transit
SHP30047,ORD20017,WH008,XPO Logistics,2023-10-16,In Transit
SHP30086,ORD20062,WH004,UPS,2023-09-23,Lost
SHP30075,ORD20068,WH008,Delhivery,2023-09-08,In Transit
